Frame Number,Timecode,delta_sat,delta_hsv_avg,delta_lum,delta_hue
37,00:00:03.223,13.333920634920634,7.842389266817839,1.4026162131519275,8.790630952380953
38,00:00:03.311,21.27005215419501,12.473127362055934,2.671607709750567,13.477722222222223
39,00:00:03.398,13.707304988662132,7.890250755857899,1.542701814058957,8.420745464852608
40,00:00:03.485,16.50000736961451,9.695232048374905,1.8937233560090703,10.691965419501134
41,00:00:03.572,19.74691836734694,12.267997732426304,2.9505918367346937,14.106482993197279
42,00:00:03.659,15.872530612244898,9.30551984126984,1.8221298185941044,10.22189909297052
43,00:00:03.746,16.30011111111111,9.212932350718065,2.0359523809523807,9.302733560090703
44,00:00:03.833,14.238362244897958,8.43214984882842,1.809251133786848,9.248836167800453
45,00:00:03.921,14.054249433106577,8.178872637944066,1.7191286848072562,8.763239795918368
46,00:00:04.008,21.333599773242632,12.551816137566137,2.8556927437641724,13.46615589569161
47,00:00:04.095,21.609862811791384,12.804318405139833,4.202179138321996,12.600913265306122
48,00:00:04.182,14.459579931972788,8.092220710506425,1.9308667800453514,7.886215419501133
49,00:00:04.269,15.423398526077097,8.897043650793652,1.9177414965986395,9.349990929705216
50,00:00:04.356,18.229769841269842,11.171841080876796,3.2755130385487528,12.01024036281179
51,00:00:04.443,21.879313492063492,13.244763038548752,4.790492630385487,13.064482993197279
52,00:00:04.531,23.083679138321994,13.691380385487527,6.054012471655329,11.93644954648526
53,00:00:04.618,19.43733560090703,11.175147959183674,3.710024943310658,10.378083333333333
54,00:00:04.705,13.732201814058957,7.928607520786092,2.097952380952381,7.955668367346939
55,00:00:04.792,15.301733560090703,9.037581254724111,2.2874931972789114,9.523517006802722
56,00:00:04.879,21.53717517006803,13.223858843537416,5.8547698412698415,12.279631519274377
57,00:00:04.966,17.012085600907028,9.889837679516251,3.383751133786848,9.273676303854876
58,00:00:05.053,11.912154195011338,6.842940476190477,1.9958758503401361,6.620791383219955
59,00:00:05.140,18.697172335600907,11.307319727891157,4.837206349206349,10.387580498866214
60,00:00:05.228,14.976418934240362,9.085524565381707,3.296299319727891,8.983855442176871
61,00:00:05.315,11.622455782312926,6.618389644746788,1.758765873015873,6.473947278911565
62,00:00:05.402,17.05975396825397,9.787382653061224,3.8233571428571427,8.479036848072562
63,00:00:05.489,13.920495464852607,8.015957860922148,2.8647738095238093,7.2626043083900225
64,00:00:05.576,15.074490929705215,8.65366477702192,2.9322210884353743,7.95428231292517
65,00:00:05.663,14.335738095238096,8.193044784580499,2.930291383219955,7.313104875283447
66,00:00:05.750,14.816312358276644,8.417881519274376,3.039958616780045,7.3973735827664395
67,00:00:05.838,18.59449433106576,10.982044973544975,5.4429075963718825,8.90873299319728
68,00:00:05.925,18.410637188208618,11.135849773242631,5.4264801587301585,9.570431972789116
69,00:00:06.012,12.174790816326531,6.807463340891913,2.0283486394557824,6.219250566893424
70,00:00:06.099,11.233945011337868,6.403179516250945,1.9408520408163266,6.03474149659864
71,00:00:06.186,15.857022675736962,9.208064436885865,3.3632800453514737,8.40389058956916
72,00:00:06.273,23.11712358276644,13.65283938019652,8.104765306122449,9.73662925170068
73,00:00:06.360,16.08950566893424,9.315853741496598,3.8388180272108845,8.019237528344672
74,00:00:06.447,13.632299319727892,7.882663265306124,2.288358843537415,7.727331632653061
75,00:00:06.535,22.735816326530614,13.938102418745276,7.506760204081632,11.571730725623583
