Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
141,8082,00:11:44.222,704.2221325209443,3.3111161885419733
142,8120,00:11:47.533,707.5332487094863,2.6140390962173115
143,8150,00:11:50.147,710.1472878057036,3.136846915460751
144,8186,00:11:53.284,713.2841347211644,4.618135736650629
145,8239,00:11:57.902,717.902270457815,2.7011737327578658
146,8270,00:12:00.603,720.6034441905729,2.7883083692985338
147,8302,00:12:03.391,723.3917525598714,6.273693830921502
148,8374,00:12:09.665,729.6654463907929,2.875443005839088
149,8407,00:12:12.540,732.540889396632,2.352635186595535
150,8434,00:12:14.893,734.8935245832275,2.875443005839088
151,8467,00:12:17.768,737.7689675890666,2.78830836929842
152,8499,00:12:20.557,740.557275958365,8.62632901751715
153,8598,00:12:29.183,749.1836049758822,3.833924007785413
154,8642,00:12:33.017,753.0175289836676,7.1450401963272725
155,8724,00:12:40.162,760.1625691799949,1.742692730811541
156,8744,00:12:41.905,761.9052619108064,1.742692730811541
157,8764,00:12:43.647,763.647954641618,3.223981552001419
158,8801,00:12:46.871,766.8719361936194,3.0497122789201967
159,8836,00:12:49.921,769.9216484725396,4.879539646272292
160,8892,00:12:54.801,774.8011881188119,4.095327917407076
161,8939,00:12:58.896,778.8965160362189,3.0497122789201967
162,8974,00:13:01.946,781.9462283151391,7.057905559786832
163,9055,00:13:09.004,789.004133874926,2.439769823136089
164,9083,00:13:11.443,791.4439036980621,3.57252009816375
165,9124,00:13:15.016,795.0164237962258,1.5684234577303187
166,9142,00:13:16.584,796.5848472539561,6.36082846746217
167,9215,00:13:22.945,802.9456757214183,6.447963104002724
168,9289,00:13:29.393,809.393638825421,2.78830836929842
169,9321,00:13:32.181,812.1819471947194,8.103521198273711
170,9414,00:13:40.285,820.2854683929932,3.833924007785413
171,9458,00:13:44.119,824.1193924007786,3.136846915460751
172,9494,00:13:47.256,827.2562393162393,2.526904459676757
173,9523,00:13:49.783,829.7831437759161,6.012289921299839
174,9592,00:13:55.795,835.7954336972159,4.618135736650515
175,9645,00:14:00.413,840.4135694338664,2.875443005839088
176,9678,00:14:03.289,843.2890124397055,2.439769823136089
177,9706,00:14:05.728,845.7287822628416,7.929251925192602
178,9797,00:14:13.658,853.6580341880342,3.921058644325967
179,9842,00:14:17.579,857.5790928323602,3.833924007785413
180,9886,00:14:21.413,861.4130168401456,7.754982652111266
181,9975,00:14:29.167,869.1679994922569,5.315212828975291
182,10036,00:14:34.483,874.4832123212321,6.622232377083833
183,10112,00:14:41.105,881.105444698316,1.8298273673520953
184,10133,00:14:42.935,882.9352720656681,1.8298273673520953
185,10154,00:14:44.765,884.7650994330202,6.535097740543279
186,10229,00:14:51.300,891.3001971735634,2.875443005839088
187,10262,00:14:54.175,894.1756401794025,2.2655005500549805
188,10288,00:14:56.441,896.4411407294575,5.228078192434623
189,10348,00:15:01.669,901.6692189218921,2.265500550055094
190,10374,00:15:03.934,903.9347194719472,4.269597190488184
191,10423,00:15:08.204,908.2043166624354,1.742692730811541
192,10443,00:15:09.947,909.947009393247,3.0497122789201967
193,10478,00:15:12.996,912.9967216721672,7.929251925192602
194,10569,00:15:20.925,920.9259735973598,5.925155284759171
195,10637,00:15:26.851,926.8511288821189,3.223981552001419
196,10674,00:15:30.075,930.0751104341203,6.012289921299839
197,10743,00:15:36.087,936.0874003554202,4.618135736650515
198,10796,00:15:40.705,940.7055360920707,6.970770923246164
199,10876,00:15:47.676,947.6763070153169,4.269597190488298
200,10925,00:15:51.945,951.9459042058052,2.9625776423796424
201,10959,00:15:54.908,954.9084818481848,2.0040966404333176
202,10982,00:15:56.912,956.9125784886181,3.2239815520013053
203,11019,00:16:00.136,960.1365600406194,3.5725200981636362
204,11060,00:16:03.709,963.7090801387831,4.792405009731738
